menu,harga_normal,harga_platform_online,selisih,uom,kategori
SEGEPOK BERLIMA,129000,142000,13000,Units,Menu Food
PAKET AYAM SEGEPOK BEREMPAT,124000,136500,12500,Units,Menu Food
AYAM SEGEPOK SINGLE,89000,98000,9000,Units,Menu Food
PAKET BIG ORDER CRISPY MIX,59500,65500,6000,Units,Menu Food
PAKET MEVVAH BERDUA,53500,59000,5500,Units,Menu Food
PKG LOKAL DUO,52500,58000,5500,Units,Menu Food
PAKET GEPREK BAKAR,50000,55500,5500,Units,Menu Food
PAKET YUKSSS MABAR,47500,52500,5000,Units,Menu Food
PKG MEVVAH (AYAM GEPREK+TELUR ORAK ARIK+INDOMIE MEVVAH),36500,40500,4000,PAKET,Menu Food
PKG GEPREK MEVVAH,35500,39500,4000,Units,Menu Food
PAKET SETIA AC,34500,38000,3500,Units,Menu Food
PAKET SETIA GO,34500,38000,3500,Units,Menu Food
GEPREK MOZAA,25000,28000,3000,PORSI,Menu Food
YUKSSS RAMA 1,25000,28000,3000,Units,Menu Food
PKC (CRISPY DADA/PAHA ATAS+NASI+MINUM),24500,27000,2500,PAKET,Menu Food
PKG (AYAM GEPREK+ SAMBAL+NASI+ES TEH),24500,27000,2500,PAKET,Menu Food
PAKET GEPREK KEJU LUMER (DADA/PAHA ATAS),23500,26000,2500,PAKET,Menu Food
PAKET GEPREK LUMER,23500,26000,2500,Units,Menu Food
PAKET GEPREK SMOKEY BBQ (DADA/PAHA ATAS),23500,26000,2500,PAKET,Menu Food
PAKET KULIT CRISPY + NASI + MINUM,23500,26000,2500,PAKET,Menu Food
PKG GEPREK BAKAR ANDALAN,23500,26000,2500,Units,Menu Food
PKG SAMBAL IJO PADANG (GEPREK SAMBAL +NASI),23500,26000,2500,PAKET,Menu Food
PKG SAMBAL KOREK SURABAYA (GEPREK SAMBAL +NASI),23500,26000,2500,PAKET,Menu Food
PKG SAMBAL ORI DADA/PAHA ATAS,23500,26000,2500,Units,Menu Food
PKG SAMBAL RICA MANADO (GEPREK SAMBAL +NASI),23500,26000,2500,PAKET,Menu Food
PKG SAMBAL TOMAT MALINO (GEPREK SAMBAL + NASI),23500,26000,2500,PAKET,Menu Food
PKG SMOKEY BBQ,23500,26000,2500,Units,Menu Food
